사랑	0.07567772409260123
천사	-0.8516932988066405
꿀	-4.140183604464509
개꿀	0.08849206349206351
짱	-0.9366301441335687
최고	-2.0958990479886332
만족	-1.6867688670277778
갓	-50.18016088155605
100점	-0.06820392396983599
에이	0.181257808251535
킹	0.368541972690053
행복	0.5566664355836927
감사	-0.5403354810364416
후하	-0.19672577998157192
나쁘지 않	0.08726310095902512
높게	0.3702079087461231
높은	-0.11495404236887763
걱정	-1.0013229641236194
드랍	-0.6185294337381623
후회	-1.1323049097805367
씨	-0.950143882020366
C	-2.938266763344922
F	-1.765940678577842
에프	-0.9928864415316608
통수	-0.9014987457993869
핀토스	-0.9546638112193641
악명	-0.7658278213801543
비추	-0.6157842643961514
지옥	-0.5752608191701134
실망	-0.8204132063016288
빡	-4.798964148265439
스트레스	-1.4186329609494763
당황	-1.5846975427580487
주시지	-0.8889662559502263
박하게	-0.5824191446033253
무난	-4.785776621758464
평균	-1.4600556688034234
그럭저럭	-0.07732419285811634
평범	-0.603795246909959
하는만큼	0.08498766489770988
정직	-0.07207322330314209
