Categories,2012 봄,2012 가을,2013 가을,2016 봄,2016 가을,2017 가을
Lecture,0.5842192731929995,0.9737573881333977,0.6747599732224118,0.4821873892765183,1.7996760212223035,1.4012306699682497
Load,0.0,3.0800439036194853,0.9210859454224201,2.4983009818623465,0.10878743589473021,1.3499285111782329
Grade,0.0,1.5877697408395182,1.7627378657824018,1.5347923088316549,1.8157822011858813,0.0
