Categories,Lecture,Load,Grade
2011 Fall,-21.973430429174243,-38.45283526099186,11.756990473323352
2012 Fall,22.524382003000312,-27.416685173570478,14.696395470229934
2013 Fall,-30.99024718809123,-14.636189137716604,5.878558186759832
2014 Spring,4.504876405953934,2.681905665940026,2.939279092650521
2014 Fall,-15.495123594046065,-17.318094334052244,-17.060720888176732
2015 Spring,-20.967349051394393,-34.632923003011456,-14.121440749690885
2015 Fall,-15.495123265081986,-7.318094334052246,2.9392733449892283
2016 Spring,-6.48537078648594,-24.99857949289062,-11.182162717862038
2016 Fall,13.462607854128766,-11.95395162772391,8.817837282137956
2017 Spring,-38.54727628965281,-81.22666450607556,0.574913222652162
2017 Fall,-126.09610085043235,-130.50155626136228,2.3314672565278514
2018 Spring,-25.720439430044657,-37.207666243184235,-15.30360329978885
