Categories,2012 가을,2015 봄,2017 봄,2018 봄
Lecture,0.6758073439138469,0.0,0.0,1.8036649880569717
Load,0.9323807472175568,1.4957716019599412,1.8534732502152047,1.4401954309487315
Grade,0.0,0.0,0.09966799462495582,1.6456310210762495
