Categories,Lecture,Load,Grade
2012 Spring,-10.0,-10.0,-10.0
2013 Spring,-30.0,-39.99999999924647,-39.99999999303306
2014 Spring,-9.998114955500945,-9.999999999999996,-9.999999999999998
2014 Fall,-0.8256186489379242,-3.3386965127904755,-2.368336769712265
2015 Spring,-10.0,-10.0,-10.0
2015 Fall,-10.0,-10.0,-10.0
2016 Spring,-24.23896429752364,-30.0,-30.0
2016 Fall,-60.0,-63.79948962255225,-69.99999992665668
2017 Spring,-89.99998325711854,-90.0,-99.99999992665668
2017 Fall,-49.1139844726349,-69.99999999043513,-69.99999996828383
2018 Spring,-8.688618725090372,-8.902023760768188,-29.999999999752937
