Categories,Lecture,Load,Grade
2011 Fall,100.0,-100.0,-100.0
2012 Fall,53.199999999999996,-50.599999999999994,25.0
2013 Spring,-100.0,100.0,100.0
2013 Fall,100.0,-73.19999999999999,100.0
2014 Fall,100.0,100.0,100.0
2015 Spring,-68.80000000000001,-36.599999999999994,-31.800000000000004
2015 Fall,26.0,-63.0,-2.5999999999999943
2016 Spring,7.599999999999994,100.0,-18.400000000000006
2016 Fall,57.0,-35.400000000000006,4.599999999999994
2017 Spring,-26.0,100.0,100.0
2017 Fall,44.599999999999994,100.0,100.0
2018 Spring,100.0,100.0,100.0
