Categories,Lecture,Load,Grade
2011 Fall,-10.0,-10.0,-10.0
2012 Fall,-19.936456722383546,-29.99999997853419,-29.99999998526491
2013 Spring,-24.629504330019646,-39.99999999044728,-40.0
2014 Spring,-20.111969143971915,-39.999999999965056,-39.99999999970993
2015 Fall,-60.41972458038933,-54.62950432182435,-59.99999994025689
2016 Spring,-51.14692601700216,-68.11680983053245,-60.0
2016 Fall,-6.763472781617448,-11.445329815821182,-19.999999894940526
2017 Spring,-63.80056371813937,-69.99999996809407,-70.0
2017 Fall,-9.99968166782127,-19.999999997905352,-19.999999652123563
2018 Spring,-81.97585410445922,-109.8181222434901,-109.99999996828384
