Categories,Lecture,Load,Grade
2011 Spring,4.504876405953916,2.681905665947565,2.939279094045987
2011 Fall,4.504876405953935,2.6819056659477547,2.939279094045987
2012 Spring,13.514629217730972,8.045716997814967,-1.182162717862039
2012 Fall,-7.475617970282288,3.409528329737965,4.696395470229935
2014 Spring,9.00975281159436,5.363601106860547,5.878558188091974
2014 Fall,4.504876405953935,2.6819056659477547,2.939279094045987
2015 Spring,9.00975281190787,5.363811331895509,5.878558188091974
2015 Fall,13.51462916297939,8.045715183810756,8.817807312770345
2016 Spring,8.019505623719356,-19.272376115909076,1.7571163761839488
2016 Fall,22.52438202976495,13.409528329718258,14.696395470229934
2017 Spring,31.534134841319023,18.773339661634285,20.574953658321906
2017 Fall,-17.409635262528003,3.409528241142505,4.696395470229935
2018 Spring,27.029252029132227,16.091433990187742,17.63567456427592
