Categories,2015 봄,2016 봄,2016 가을,2017 봄,2017 가을,2018 봄
Lecture,0.5866801159905412,0.982945980425641,0.6178608645597893,0.26852478349901765,0.8534841653613341,0.4560017006885067
Load,0.0,0.0,0.49910280494314857,0.0,1.9566644697195605,2.967524428846404
Grade,0.0,0.0,0.57218556266983,0.0,1.165769048689588,1.1227313578670615
