Categories,Lecture,Load,Grade
2013 Spring,4.605463942891666,-7.320139521388665,3.193587261640806
2015 Spring,-5.394536057108327,-17.240613068335357,3.193587304423
2016 Spring,-36.183608171324956,-12.01367257030544,-10.419238086823349
2016 Fall,-0.7890721144245401,5.3596806517343705,6.386456260251398
2017 Spring,-10.789072114237475,5.35818786394297,-13.612825391645394
2017 Fall,-10.789072323991412,5.359720957222671,6.387174608853496
2018 Spring,-10.789072114216655,-4.640279073298373,-13.612825391146503
