Categories,Lecture,Load,Grade
2011 Spring,4.504876405953935,2.6819056659477547,2.939279094045987
2012 Spring,-10.99020986895296,-4.636188668324758,-4.121441811908026
2012 Fall,9.009752811907848,-4.636188723344536,5.8784827008026195
2013 Spring,9.0097528119078,5.3638113318954925,5.878558188091974
2013 Fall,3.5146292178618044,-11.93090797393498,8.817828412069506
2014 Spring,4.504876405868117,2.6819056659477125,2.939279094045987
2014 Fall,-7.614574377479221,5.3638113318954925,-13.103168365956531
2015 Spring,-11.980510862132931,-35.631926557303316,-8.242782728724428
2015 Fall,31.534134841329667,18.768311679834518,20.574953658321903
2016 Spring,3.675498999185251,6.089575235512061,7.635656008351895
2016 Fall,21.533587347838946,8.773339658416718,10.574953658321906
2017 Spring,-15.716320904824375,24.137150975379917,26.453499575127836
2017 Fall,30.54388765092864,4.137150993571666,6.453511846413878
2018 Spring,5.048670203223281,6.819056658980923,19.392790933387438
