Categories,Lecture,Load,Grade
2012 Spring,100.0,100.0,100.0
2012 Fall,53.199999999999996,100.0,100.0
2013 Spring,-12.200000000000003,100.0,100.0
2013 Fall,-10.0,100.0,100.0
2014 Spring,10.400000000000006,100.0,100.0
2014 Fall,100.0,100.0,100.0
2015 Spring,100.0,100.0,-48.800000000000004
2015 Fall,42.199999999999996,100.0,100.0
2016 Spring,12.599999999999994,100.0,9.400000000000006
2016 Fall,100.0,100.0,100.0
2017 Spring,53.199999999999996,-23.400000000000006,100.0
2017 Fall,40.400000000000006,100.0,66.6
2018 Spring,23.400000000000006,100.0,100.0
